"id","request.custom_id","success","result.product.title","result.product.book_description"
"1D42E6B04A5B4D3DA5E22E7F39B2A09B",,true,,
"F65A94945A274566A9C9A13C36F82E48",,true,"Barely Legal","If you love quirky characters and laugh out loud antics, you'll love Barely Legal. . Stanford Law grad Meredith Evans is risking her position in Chicago's Cook County Public Defender’s office by paying off her student loans as Misty, an exotic dancer at a south side strip club. When Admiral Evans discovers his daughter’s dirty little secret, he calls in a favor from his top student at Coronado-get his little girl off the stage. But no one told Assistant D.A. Paul Kaplan that Meredith Evans is as sexy as she is intelligent or that she likes supervision even less than she likes former Navy Seals. This may be the best assignment Kaplan has had in years.Strippers, mafia, military, drug busts and lawyers combine for a delicious, naughty ride."
"5C135C0388BA4CC9A957E5076FF3C11F",,true,,
"5E3E9E77C0934DEEA2395A560D80DF5D",,true,"Overboard","Being thrown overboard off a luxury liner by her so-called aunt and cousin was bad enough, but being rescued by a creature that shouldn’t even exist took the cake. Mix in the infuriating man’s insistence she was his “perfect mate” and Dallas had had just about enough. All she wanted to do was to get back to Texas and bring her aunt and cousin to justice before the evil duo could get their hands on her money. But first she had to get past an extremely adamant, extremely horny selkie. Thane was more than satisfied at the mate the Fates had provided for him. Hot and feisty, full of life and a body that made him want to cry. All he had to do was to get the daft woman to see they were destined to be together. Unfortunately, she was human, so Thane had his work cut out for him."
"A093C658ABFF42CABF4B4136A92F8772",,true,,
"8B58CA723E6A409A9DA27E02B06CAB18",,true,,
"D64A3CF0AC764C56BA1C4037C20686F0",,true,"Arctic Shift: Denali Heat","She believes in myths…can she believe in destiny?Denali Heat, Book 1Unlike her adventurous sister, Ruby is perfectly content to let her mind be the wanderlust while her body stays safely in Chicago. Melanie wouldn’t be out of touch this long without a damned good reason, though. Which means it’s time for a giant step outside her comfort zone.While Denali National Park is like another planet, the myths and legends that saturate this wild land are right up her alley. The wilderness guide waiting for her—naked in her bed—looks about as safe as a polar bear.Carson’s people are kin to the great beast, right down to the white hair. Before Ruby ever set foot in Alaska, his inner bear knew that Melanie’s little sister was his mate. He’s doing his level best not to let his primal needs scare her, but everything about her sends his urge to possess her into overdrive.To his surprise, revealing he’s a shifter only stimulates her innate curiosity. Warming her with the perfect fire of their lovemaking, easy. Convincing her that real love isn’t a myth—and making her want to stay in his home, his bed, his heart—now, that’s a problem…Warning: cozy flannel PJs, a naked shifter, incredible food and some fireside sex hot enough to melt the polar ice caps…"
"1B35F01C93FD41EFB89FE1C89F9CADE5",,true,"Skin","Her body is his canvas.When Makena Brady walks into SkIntense Body Art, she expects nothing more than a little prick, and a small tattoo to satisfy her quest for independence from her ""good girl"" lifestyle. What she gets instead is a sensual awakening.Darq Stone is an artist and Makena's body is the perfect canvas. He works his magic on her, bringing her to the edge of reason with a temporary tattoo airbrushed on her inner thigh.Enthralled by the excitement of lying nearly naked while he paints on her, Makena yearns for more, but can she handle the real thing? Darq is much more than he seems and once he brands her with a permanent mark, she'll be drawn into his world forever."
"8061968AE51A47BBAE597499FF36FB76",,true,,
"A6C2E2D783F7457E8A152E8D83CA5FA0",,true,,
"E4C78D3DB49B4414B39BCB53602F2D6E",,true,,
"112C4D66F4CF4A5FB5A0A2070DAB6E60",,true,,
"6FCD3EFB150C484EB1FD4BFFC79CB0EF",,true,"Forbidden Desires [Tri-Omega Mates 2] (Siren Publishing Menage Amour Manlove)","[Siren Menage Amour: Gay Menage a Trois, M/M/M]  Ryland has loved Gregory for six years, ever since Gregory rescued him from the brink of death. He has also known since then that Gregory is his mate. He's been old enough for a couple of years now, he just can't understand why Gregory won't claim him.Gregory knew the moment he saw Ryland six years ago that they were mates. Ryland just wasn't old enough to be claimed. So Gregory bided his time, waiting for Ryland to grow up. But as his desire for Ryland builds, he wonders how much longer he can wait.Gregory finally claims Ryland, only to learn that by doing so, he has endangered Ryland. Ryland is a tri-omega and needs two mates to keep him grounded and safe. But he hasn't met his other mate yet, which could be a problem. It could mean Ryland's life if they don't find him.See a video of Forbidden DesiresSiren Erotic Romance"
"E9D6C13CDF96462CA3090A38C3D87A3D",,true,"Cory's Salvation","Stephanie is a woman on the run with a horrible secret. But when her funds run out, she is forced to make a drastic decision. Out of necessity, she had to take a job running the household of the sexy rancher, Cory Booker-just for a while. Just to save up enough money to keep running. . Cory never had much use for women. He didn’t know how to talk to them. He never wanted to be one of those love-‘em-and-leave-‘em types. After watching his father tear his mother’s heart out over and over again, he vows to live the rest of his life alone rather than to be the cause of woman’s tears. . There was something vulnerable about Stephanie, something that called to Cory and he could not refuse. He had to make her see no matter what, he could protect her and would love her the way she deserved to be loved. He had to make her see she was the salvation to his bruised soul."
"DC47592F49454DB9A3C774D7DD823E5D",,true,"Classmate Murders (Jim Richards Murder Novels Book 1)","New edits of this book as of May 3, 2012.. Someone is murdering women from the class of '67 and it's up to Jim Richards, who has reluctantly just turned sixty, to stop him. Jim's life is in the dumps and then late one might he receives an email from a childhood sweetheart he hasn't seen in over 40 years, pleading for help but he doesn't get to her in time, she's been murdered. A killer is now stalking and killing his former female classmates for unknown reasons and Jim, along with his only friend Buck, a big, mustachioed biker, go off to track down the killer before he can get to one former classmate, Penny Wickens, a TV talk show host who Jim has just fallen for while protecting her. The killer is also murdering the women right out from under police protection, driving homicide detective Will Trapper crazy, and he slowly depends on Jim to help. There's humor, suspense, wild chases across suburban Detroit with cops, classic cars and motorcycle clubs; murder, mayhem, and a good amount of romance. . ""We all talk a great game about writing, but when you see how hard a guy like Bob is working to make it happen...it's...Wow! Also, I just finished Classmate Murders--well done! Rockin' good fun!"" - John Locke, Best-selling Author of Donovan Creed series, ""Lethal People"", ""Lethal Experiment"", ""Saving Rachel"" and ""Now & Then"".. ""Bob Moats' Classmate Murders is an excellent blend of Elmore Leonard and Philip Marlowe sensibilities, ...and damn if it isn't some great detective writing."" - M. Jones, author.. ""Just started Bob Moats' ""The Classmate Murders"" WOW. That's all I've got to say. The man can write :-)... Cristyn West - author ""Plain Jane: Brunettes Beware"". ""I must say the author weaves a wicked story plus his humor is a hoot! I recommend reading ""THE CLASSMATE MURDERS"", but you might catch yourself looking behind you all of the time. - Doug Hardin Author of ""HIDDEN AND IMMINENT DANGERS"". ""Your books have been a joy to read. They keep me interested until the last page is turned. Keep up the good Work!"" B. Scharmann, Rochester Hills, Michigan.. ""I over slept this morn Bob. After I started reading ""Classmate Murders"" I couldn't put it down, lol. I loved it! Keep writing!"" - ODella Wilson, Writer, Blogger.. ""Just finished Classmate Murders! I thought it was great! Love the characters! Off to buy the next one : )"" - Janine AKA Soylady, business owner, Things that Make Scents, New Jersey.. ""Moats does the job. Well written. A good read!"" - ""Cut to the Chase Reviews"" by Joanne Chase.. ""This book was a real page-turner as I couldn't wait to find out what would happen next."" - Lou Riddell blog review. ""The good news is that this is just the beginning, there are more Jim Richards crime novels to be had, and I will be buying them, no doubt about it."" - Flint Books Examiner - Patrick Pillars. ****. All Jim Richards Book titles: Classmate Murders; Vegas Showgirl Murders; Dominatrix Murders; Mistress Murders; Bridezilla Murders; Magic Murders; Strip Club Murders; Made-for-TV Murders; Mystery Cruise Murders; Talk Show Murders; Sin City Murders; Black Widow Murders; Vegas Vigilante Murders; Area 51 Murders; Mortuary Murders and Hypnotic Murders.. *"
