"id","request.custom_id","success","result.product.title","result.product.book_description"
"039FBE641D74404499B5C801C0AEF83F",,true,,
"B0394CDA934C4AD48B989B18829D58E7",,true,,
"BADE730A77554164A20BCC08D215C464",,true,,
"C08B2B8927D24B378720ABE4FBFF8CB0",,true,,
"1953C13DFB51497F93EE1AE466D90A07",,true,,
"C5BA97196DDC4C22A82B4842FABC30BD",,true,"Songbird (Linger Book 2)","The voice of an angel, a husband who loved her. She had it all…until a tragedy took it away. A Linger StoryThey called her their Songbird, but she was never theirs. Not in the way she wanted. The Donovan brothers meant everything to Emily, but rejected by Greer and Taggert, she turned to Sean, the youngest. He married her for love, and she loved him, but she also loved his older brothers. Her singing launched her to stardom. She had it all. The voice of an angel, a husband who loved her, and the adoration of millions. Until a tragedy took it all away. Taggert and Greer grieve for their younger brother, but they’re also grieving the loss of Emmy, their songbird. They take her back to Montana, determined to help her heal and show her once and for all they want her. They’re also on a mission to help her find her voice again. Under the protective shield of their love, she begins to blossom… until an old threat resurfaces. Now the Donovans face a fight for what they once threw away. Only by winning it—and her love—will their songbird fly again. Warning: Explicit sex, ménage a trois, multiple partners, a committed polyamorous relationship, adult language, and sweet loving."
"8873F521621041D195C534E588179B88",,true,"The Wolf Ring (The Wolf Ring Series Book 1)","When Conner gives his girlfriend an antique ring, things between them get unexpectedly... wild.. Warnings: Explicit sex, blunt language. Length: Short story (7200 words). Look for the other books in the series, The Wolf Hunger and The Wolf Moon."
"081FA10DE08043FF8B7EE08CE5ABDC05",,true,,
"C290399A42AF4900BD95DA910251A8B2",,true,"Alexandra’s Legacy (Legacy Series Book 1)","The truth will set her free…or get her killed.Legacy, Book 1Alexandra Riley’s day starts out like any other in her normal, predictable world. Then a tall, dark stranger bursts into her father’s garage and shatters the illusion. In one shocking moment, she discovers why she’s been feeling hot, restless—she’s the half-breed daughter of a legendary werewolf and is a much-sought-after prize.Joshua Striker, enforcer in charge of protecting the alphas of the Wolf Creek pack, has come to take Alex home. Nothing more, nothing less. From the first moment he sees her, she becomes the one thing he can’t afford—a distraction from his duty. A weakness he doesn’t want—but can’t resist needing.If only keeping her safe was as simple as fending off males on the hunt for a mate. Through city streets to the mountains of North Carolina, Alex and Joshua have to evade those who don’t want their pure bloodlines tainted with human DNA, as well as bounty hunters who think the only good werewolf is a dead one.What Joshua and Alex can’t outrun is the passion that flares between them—or the choice Alex must eventually face. Whether to claim her inner wolf, or forfeit her chance to claim Joshua as her own."
"C789397CE7224E81A4B06426C25D5761",,true,,
"F428025A36674B36ABE5344BF4184326",,true,"Serial","Remember the twin golden rules of hitchhiking? # 1: Don't go hitchhiking, because the driver who picks you up could be certifiably crazy. # 2: Don't pick up hitchhikers, because the traveler you pick up could be raving nutcase. So what if, on some dark, isolated road, Crazy #1 offered a ride to Nutcase #2? . When two of the most twisted minds in the world of horror fiction face off, the result is SERIAL, a terrifying tale of hitchhiking gone terribly wrong. Like a deeply twisted version of an ""After School Special,"" SERIAL is the single most persuasive public service announcement on the hazards of free car rides. Beyond a thrilling piece of horrifying suspense, SERIAL is also a groundbreaking experiment in literary collaboration. Kilborn wrote the first part. Crouch wrote the second. And they wrote the third together over email in 100-word exchanges, not aware of each other's opening section. All bets were off, and may the best psycho win."
"BCEB0A90B9584213A5A423BC4406E915",,true,,
"936A8B9325ED46A4832B73DB0FC38EFB",,true,"Dream Machine (Play Doctor Book 1)","The best dreams are made of naughty and spice.Rebecca Williams is about to achieve her goal of graduating from a prestigious university and winning a coveted spot in her mentor’s cutting-edge psychology practice. She just needs one more qualification: sexual experience. She never dreamed it would come at the hands of the man she’s admired and wanted for six years. Dr. Kurt Foster.Kurt, a brilliant psychologist in the field of sexual therapy, is a scientist to the core. Attraction and lust are nothing more than chemical reactions, in his clinical opinion. Love? It’s just a figment of the imagination born of nature’s directives. He’s on the brink of proving it with a new machine that uncovers latent desires.In short order, Becca’s forbidden lust for her boss is exposed. As Kurt continues to enlighten her on the darker facets of her sexuality, the student unexpectedly becomes the teacher.And suddenly Kurt is confronted with the irrefutable proof that love is so much more than a societal construction."
