"id","request.custom_id","success","result.product.title","result.product.book_description"
"098A3FD84B724DA9A9165F9F19BDDD51",,true,,
"C7112119178B461594E6D6F55FA9BBD3",,true,,
"87B5CA211A2A49BDAED532B434AE5336",,true,"Dead(ish)","Linda's had a bad day. First her boyfriend killed her. Then she woke up, still on this boring plane of existence, and with an odd obsession about her missing body. Mike won't tell her what he did with her body, and she can't find the stupid thing herself. There's only one thing she can do - torment the bastard until he coughs up the information.. This is a very short work - novelette length - around 11000 words or 44 (print) pages.. Warning: Frequent foul language, mild sex scenes, and Australian spelling. Not suitable for children."
"64508741BE874C0696A11C08B5A77B12",,true,"The Zombie Chronicles: Outbreak","It was the start of another ordinary day at the office for Max, he was emailing a friend when one of his other early morning co-workers called for his help, someone was having a heart attack. Rushing to the aid of his fallen co-worker Max knew one thing, it wasn't a heart attack. Heart attack victims didn't bleed and didn't start chewing on anyone they could catch either. Once the victims died they came back to life with only one goal; to consume the living. Now Max was stuck in a rapidly deteriorating situation thirty miles from home, where his wife and two kids were sleeping away the warm mid summer morning. He had to get back to his family and get them to a safe place, if he could find one. Forming a group made up of his coworkers Steve and Tom and a police officer called 'Stewart' they make their way into the city to save the ones they love. The newly returned, however, were not all mindless shamblers and some of them had a plan.... This is a revised edition (2.2) uploaded on March 26th, 2011 and incorporates many spelling and grammar fixes send in from fans. Thanks for the feedback!"
"D6B6890E82964A8BB636B89D1DA0D2DE",,true,,
"A6CDDEF32D62436D889C20CBA300A0D8",,true,"Hot for Teacher (Jane Porter Book 4)","Who says three’s a crowd?Entrepreneur, fashionista and submissive-in-training, Jane Porter is headed to New Orleans with her lovers, Antonio and Santos. Armed with an invitation to the exclusive Marché d’Esclave, a members-only pleasure club, Jane steps into a world where submissives are auctioned to new masters for training. Happy with her current masters, Jane has no intentions of going up on the block herself until she comes to face to face with a man she’d thought never to see again…Among the patrons is the mysterious Archer, a master from Europe with legendary skills in the art of training. His submissives command the highest prices at auction and for those in search of a master, he is the one they crave. Intrigued by the beautiful Jane, he employs his considerable talents in the hopes of seducing her away from her lovers and returning to his home for a little higher education. Will Jane resist temptation or will she accept Archer’s invitation to explore more of the pleasure she’s come to crave…Warning: Extreme bondage, spanking, sexy men doing very naughty things to themselves and others, more spanking and the creative misuse of fruit."
"54FC90C8EAA449BE851F14C1C5D915D1",,true,"The Billionaire's Baby (Harlequin Mini # 19)","Garrett Winslow wants a woman to love him for himself, not for his family's money. So when he meets Haley Turner while on vacation in Mexico, he keeps his real name a secret. A family crisis abruptly ends their spring fling, and Garrett heads home, never knowing the night he spent with Haley has changed both of their lives forever..."
"4635355DA65045E8857F506F86B65E06",,true,"Educating Jane Porter","He’s throwing a kink—or two—in her plans…A Jane Porter story.Last night Jane met the Master of her dreams…Tall, dark and very Spanish, Antonio Villareal is a lover unlike any Jane has ever known—undeniably sexy and more than willing to help her explore her submissive side. To find a master who’s a natural dominant is one thing. But kind and considerate, as well? She can hardly believe her good fortune.Antonio is well aware that Jane is determined to keep their sexual relationship temporary. But he has a different plan in mind.In the morning he introduces her to his best friend…"
"FC4D6AE4D4844A1BB2B9D5861EBAB249",,true,,
"EC3EEA27572D469FBB49C0BA0BFCAF33",,true,,
"9E1E313578CE4B6088D51CC1E674C291",,true,"Love Script","Determined to land a huge advertising account for his company, Nick gets a LITTLE carried away and tells the potential client he's married, then he has a serious problem--he can't join the client on the ship unless he shows up with the wife he's supposed to be taking on an anniversary cruise.Laney Parks is either in the wrong place at the wrong time, or the right place at the right time-She isn't sure which. She isn't even entirely certain of how she got roped into posing as her hunky boss's wife. She finds it SERIOUSLY unnerving, though, to 'stick to the script' when that includes cuddling up and kissing in public, and even more unnerving to share the close confines of the cabin-and its single bed-with him. Rating: Adult situations and language."
"D8E5E25EB023488494B42B519C00F49B",,true,,
"2F1E20C4EC8E41D7B6B6B38714F590F1",,true,"Str8te Boys","How far would you dare to go…to win it all?Maverick Holms and Duke Warren share almost everything—a college soccer team, an apartment and the same extremely competitive nature. Thanks to that never-back-down spirit, they’re about to share more than they bargained for.The game is “gay chicken”. The rule: get as close as possible without kissing, and the one that pulls away first is the loser. The problem: neither of them likes to lose. It isn’t long before the game becomes an excuse to touch and kiss in every possible forbidden way. And after they pose for a gay website to earn extra money, things really heat up.Suddenly Duke is talking lifetime commitment, and Mav is backpedaling as hard as he can, not sure if he’s ready to accept all his best friend is offering him. Or the truth about what he is."
"0A44F5C554844CE29DFFEFE30B33D17F",,true,,
